user,chat,kategori,cleaned_user
Kısa hikaye kitabı önerir misin?,"Dublinliler, kısa ve etkileyici hikayeler içeriyor.",kitap_oneri,kıs hikaye kitap önerir mis
Edebiyat tarihini anlatan kitap var mı?,"Edebiyat Tarihi, kapsamlı ve öğretici bir eser.",kitap_oneri,edebiyat tarih anla kitap var
Yeni çıkan kitaplardan öneri alabilir miyim?,"Kırlangıç Çığlığı, yeni çıkan ve ilgi çeken bir roman.",kitap_oneri,yen çıkan kitap öner alabilir miy
Okuması kolay ve akıcı kitap önerir misin?,"Hayvan Çiftliği, kolay okunabilir ve düşündürücü.",kitap_oneri,okuma kolay akıç kitap önerir mis
Klasik aşk romanı önerisi var mı?,"Rüzgar Gibi Geçti, unutulmaz bir aşk hikayesi.",kitap_oneri,klasik aşk roman öneri var
Psikolojik gerilim kitap önerir misin?,"Kayıp Kız, heyecan dolu ve sürükleyici.",kitap_oneri,psikolojik geril kitap önerir mis
Çocuklara yönelik eğitici kitaplar var mı?,"Sevgi Masalları, çocuklar için anlamlı hikayeler içeriyor.",kitap_oneri,çocuk yönelik eğitiç kitap var
Motivasyon artırıcı kitap önerir misin?,"İnanç Gücü, kişisel motivasyonu artıran bir eser.",kitap_oneri,motivasyon artırıç kitap önerir mis
Kültür ve tarih karışımı kitap tavsiyesi var mı?,"İstanbul: Hatıralar ve Şehir, tarihi ve kültürel zenginlikleri anlatıyor.",kitap_oneri,kül tarih karış kitap tavsiye var
Edebiyat ve felsefe karışımı kitap önerir misin?,"Sofinin Dünyası, felsefeyi eğlenceli bir şekilde sunuyor.",kitap_oneri,edebiyat felsef karış kitap önerir mis
Bana sürükleyici bir roman önerir misin?,"“1984” kesinlikle okunmalı, distopya sevenler için harika bir seçim.",kitap_oneri,ban sürükleyiç bir roman önerir mis
Klasiklerden önerin var mı?,“Suç ve Ceza” mutlaka okunması gereken bir başyapıt.,kitap_oneri,klasik öner var
En iyi kişisel gelişim kitabı hangisi?,“Alışkanlıkların Gücü” motivasyon ve değişim için çok etkili bir kitap.,kitap_oneri,iyi kişisel geliş kitap hangi
Gençler için kitap önerir misin?,“Alice Harikalar Diyarında” genç okurlar için eğlenceli bir macera.,kitap_oneri,genç kitap önerir mis
Tarih kitabı önerir misin?,“Sapiens” insanlık tarihi hakkında çok ilginç bilgiler içeriyor.,kitap_oneri,tarih kitap önerir mis
Polisiye sevenler için önerin var mı?,“Da Vinci Şifresi” heyecan dolu bir polisiye roman.,kitap_oneri,polisi seven öner var
Popüler bilim kitabı tavsiyen ne olur?,“Kısa Tarih” evrenin sırlarını anlaşılır şekilde anlatıyor.,kitap_oneri,popü bil kitap tavsiyen olur
Kısa sürede okunacak kitap önerir misin?,“Fareler ve İnsanlar” kısa ve sürükleyici bir romandır.,kitap_oneri,kıs süre okunacak kitap önerir mis
Çocuklar için güzel bir kitap var mı?,“Küçük Prens” hem çocuklar hem yetişkinler için harika bir eser.,kitap_oneri,çocuk güzel bir kitap var
Yeni çıkan kitaplar hakkında bilgi verir misin?,“Kayıp Zamanın İzinde” yeni çıkanlar arasında çok konuşuluyor.,kitap_oneri,yen çıkan kitap hakk bilgi verir mis
Fantastik kitap önerir misin?,“Yüzüklerin Efendisi” fantastik türün en iyilerinden biridir.,kitap_oneri,fantastik kitap önerir mis
En sevdiğin yazarın kitabını önerir misin?,"“Dostoyevski” den Suç ve Ceza’yı öneririm, çok derin bir eser.",kitap_oneri,sevdik yazar kitap önerir mis
Hangi kitaplar çok satanlar listesinde?,“Atomic Habits” ve “Simyacı” halen çok popüler.,kitap_oneri,hangi kitap satan liste
Aşk romanı önerir misin?,“Aşk ve Gurur” klasik ve etkileyici bir aşk hikayesi.,kitap_oneri,aşk roman önerir mis
Motivasyon için okunacak kitap var mı?,“İnsanın Anlam Arayışı” insanı derinden etkileyen bir eserdir.,kitap_oneri,motivasyon okunacak kitap var
Tarih ve biyografi karışımı önerin var mı?,“Steve Jobs” biyografisi çok başarılı ve ilham verici.,kitap_oneri,tarih biyografi karış öner var
En çok okunan kitaplar neler?,"“Simyacı”, “1984” ve “Küçük Prens” çok tercih edilenler arasında.",kitap_oneri,okunan kitap ne
Yazma sanatı ile ilgili kitap önerir misin?,“Bird by Bird” yazarlık için mükemmel bir rehber.,kitap_oneri,yazm sana ilgi kitap önerir mis
Zorlayıcı ama okunmaya değer kitap önerir misin?,“Ulysses” zorlu ama çok değerli bir klasik.,kitap_oneri,zorlayıç okunma değer kitap önerir mis
Bana bilim kurgu kitabı önerir misin?,“Dune” evreninde geçen epik bir bilim kurgu klasiğidir.,kitap_oneri,ban bil kurg kitap önerir mis
Psikoloji ile ilgili okunması gereken kitap önerisi?,“İnsanın Psikolojisi” insan davranışlarını anlamak için iyidir.,kitap_oneri,psikoloji ilgi okunma gere kitap öneri
Sanat ve edebiyat hakkında önerin var mı?,“Sanatın Tarihi” bu alanı sevenler için çok faydalı.,kitap_oneri,sanat edebiyat hakk öner var
En güzel şiir kitapları hangileri?,“Leyla ile Mecnun” şiir severler için şahane bir seçim.,kitap_oneri,güzel şiir kitap hangi
Macera türünde önerin var mı?,“Robinson Crusoe” macera dolu ve klasik bir eser.,kitap_oneri,macera tür öner var
Film uyarlaması yapılmış kitap önerir misin?,“Harry Potter” serisi hem kitap hem film olarak çok sevildi.,kitap_oneri,film uyarlama yapıl kitap önerir mis
Yabancı dil öğrenirken okunacak kitap önerisi?,“Le Petit Prince” Fransızca öğrenenler için ideal.,kitap_oneri,yabanç dil öğrenir okunacak kitap öneri
Okunması gereken klasik Türk edebiyatı kitapları?,“Kürk Mantolu Madonna” mutlaka okunmalı.,kitap_oneri,okunma gere klasik türk edebiya kitap
Sağlık ve yaşam tarzı kitabı önerir misin?,“Beden Kitle Endeksi” yaşam kalitesini artırır.,kitap_oneri,sağlık yaşa tarz kitap önerir mis
İş hayatı için motivasyon kitabı önerir misin?,“Başarıya Giden Yol” kariyer planlamada yardımcı.,kitap_oneri,i̇ş haya motivasyon kitap önerir mis
En sevilen roman kahramanları kitap önerisi?,“Sherlock Holmes” serisi zekice ve sürükleyici.,kitap_oneri,sevilen roman kahraman kitap öneri
Felsefe ile ilgili önerin var mı?,“Sokrates’in Savunması” temel felsefi eserlerden biridir.,kitap_oneri,felsef ilgi öner var
Yenilikçi ve yaratıcı düşünce için kitap önerir misin?,“Yaratıcılığın Gücü” ilham verici bir kitap.,kitap_oneri,yenilikç yaratıç düşü kitap önerir mis
Psikolojik gerilim türünde önerin var mı?,“Kayıp Kız” gerilim severler için mükemmel.,kitap_oneri,psikolojik geril tür öner var
Biyografi türünde okunacak bir kitap önerir misin?,“Nelson Mandela’nın Yaşamı” ilham verici bir hayat hikayesi.,kitap_oneri,biyografi tür okunacak bir kitap önerir mis
Popüler kültürle ilgili kitap önerir misin?,“Pop Kültür Tarihi” günümüzü anlamak için faydalı.,kitap_oneri,popü kültür ilgi kitap önerir mis
Doğa ve çevre hakkında okunacak kitap var mı?,“Sessiz Bahar” çevre bilincini artırır.,kitap_oneri,dok çevr hakk okunacak kitap var
Roman okumaya yeni başlayanlar için önerin nedir?,“Hayvan Çiftliği” kısa ve öğretici bir roman.,kitap_oneri,roman okuma yen başlayan öner ne
En çok ödül almış kitaplar hangileri?,“Yüzüklerin Efendisi” ve “Körlük” ödüllü eserlerdir.,kitap_oneri,ödül al kitap hangi
Çocuklara yönelik eğitici kitap önerir misin?,“Orman Masalları” çocukların ilgisini çeker.,kitap_oneri,çocuk yönelik eğitiç kitap önerir mis
Kitap kulübü için önerin ne olur?,“Körlük” derin anlamlar içeren bir roman.,kitap_oneri,kitap kulüp öner olur
Doğaüstü olaylar içeren kitap önerir misin?,“Dracula” klasik ve ürkütücü bir eser.,kitap_oneri,doğaüs olay içeren kitap önerir mis
En iyi aşk hikayeleri kitabı önerir misin?,“Aşkın Kıyısında” duygusal bir roman.,kitap_oneri,iyi aşk hikaye kitap önerir mis
"Şiir okumayı seviyorum, önerin var mı?",“Orhan Veli Kanık” şiirleri çok seviliyor.,kitap_oneri,şiir okuma seviyor öner var
Ekonomi ile ilgili kitap önerir misin?,“Freakonomics” ekonomiyi eğlenceli anlatıyor.,kitap_oneri,ekonomi ilgi kitap önerir mis
Kadın yazarların kitapları hakkında önerin var mı?,“Virginia Woolf” eserleri okunmaya değer.,kitap_oneri,kat yazar kitap hakk öner var
Yazar olmayı düşünenlere kitap önerir misin?,“Yaratıcı Yazarlık Atölyesi” başlangıç için ideal.,kitap_oneri,yazar olma düşünen kitap önerir mis
Kısa öykülerden oluşan kitap önerir misin?,“Öyküler” derlemesi kısa ve anlamlı eserlerden.,kitap_oneri,kıs öykü oluşan kitap önerir mis
Gezi kitapları tavsiye eder misin?,“Gezginin Günlüğü” farklı kültürleri tanıtır.,kitap_oneri,gez kitap tavsi eder mis
Yeni yazarlar keşfetmek ister misin?,“Genç Yazarlar Koleksiyonu” yeni yetenekleri tanıtır.,kitap_oneri,yen yazar keşfetmek ister mis
Bilim kurgu severler için kitap önerisi?,“Marslı” bilim kurgu tutkunları için mükemmel.,kitap_oneri,bil kurg sever kitap öneri
Psikolojik roman önerir misin?,“Kürk Mantolu Madonna” karakter derinliği yüksek.,kitap_oneri,psikolojik roman önerir mis
Tarih ve roman karışımı önerin var mı?,“Savaş ve Barış” hem tarih hem roman severlere.,kitap_oneri,tarih roman karış öner var
En sevdiğin çocuk kitabı hangisi?,“Pinokyo” klasik ve öğretici bir hikaye.,kitap_oneri,sevdik çocuk kitap hangi
Macera dolu kitap önerir misin?,“Define Adası” heyecan dolu bir macera kitabı.,kitap_oneri,macera dol kitap önerir mis
Kitap okuma alışkanlığı kazandıran önerin var mı?,“Küçük Alışkanlıklar” okuma isteğini artırır.,kitap_oneri,kitap okum alışkanlık kazandıran öner var
Tarihsel kurgu kitap önerir misin?,“Rüzgar Gibi Geçti” tarihsel bir başyapıt.,kitap_oneri,tarihsel kurg kitap önerir mis
Yabancı dilde okunacak kitap önerir misin?,“To Kill a Mockingbird” Amerikan klasiği.,kitap_oneri,yabanç dil okunacak kitap önerir mis
Fantastik roman önerir misin?,“Harry Potter” serisi büyüleyici bir dünya sunar.,kitap_oneri,fantastik roman önerir mis
Psikoloji alanında yeni çıkan kitap önerir misin?,“Düşünce Hataları” insan davranışlarını inceler.,kitap_oneri,psikoloji alan yen çıkan kitap önerir mis
Bilim kitapları arasında hangisini önerirsin?,“Kozmos” evreni anlamak için harika bir kitap.,kitap_oneri,bil kitap ara hangi önerir
Yaratıcı düşünceyi geliştiren kitap önerir misin?,“Yaratıcı Zihinler” ilham verir.,kitap_oneri,yaratıç düşünce geliştiren kitap önerir mis
Romantik komedi kitap önerisi verir misin?,“Aşkın Halleri” eğlenceli ve romantik bir roman.,kitap_oneri,romantik kome kitap öneri verir mis
Okuma listeme ekleyebileceğim kitap önerir misin?,“Yüzyıllık Yalnızlık” edebi açıdan güçlü bir eser.,kitap_oneri,okum liste ekleyebilecek kitap önerir mis
Bilim kurgu ve fantezi karışımı kitap önerir misin?,“Ender’in Oyunu” çok sevilen bir kitap.,kitap_oneri,bil kurg fantez karış kitap önerir mis
Savaş temalı kitap önerir misin?,“Kızıl ve Siyah” savaş dönemini çok iyi anlatır.,kitap_oneri,savaş tema kitap önerir mis
Yaşam koçluğu kitap önerir misin?,“İçindeki Devi Uyandır” motivasyon için birebir.,kitap_oneri,yaşa koçluk kitap önerir mis
Romanın yanında kısa deneme önerir misin?,“Denemeler” klasik edebiyat denemeleri içerir.,kitap_oneri,roma yan kıs dene önerir mis
En güzel aşk şiirleri kitabı önerir misin?,“Nazım Hikmet” aşkı şiirle anlatır.,kitap_oneri,güzel aşk şiir kitap önerir mis
Kitap okumayı sevdiren eserler önerir misin?,“Charlie’nin Çikolata Fabrikası” çocuklar ve yetişkinler için eğlenceli.,kitap_oneri,kitap okuma sevdiren eser önerir mis
Psikolojik danışmanlık için kitap önerir misin?,“İçsel Yolculuk” kendini anlamaya yardımcı.,kitap_oneri,psikolojik danışmanlık kitap önerir mis
Bilimsel roman önerir misin?,“Zamanın Kısa Tarihi” bilimsel konuları anlatır.,kitap_oneri,bilimsel roman önerir mis
Kendi kendine yardım kitabı önerir misin?,“Düşün ve Zengin Ol” motivasyon ve başarı kitabı.,kitap_oneri,kent kent yardım kitap önerir mis
En çok okunan modern romanlar hangileri?,“Kayıp Zamanın İzinde” modern klasiktir.,kitap_oneri,okunan modern roman hangi
Okuma listeme ekleyebileceğim kitap önerir misin?,"Tabii! 'Yüzyıllık Yalnızlık' harika bir seçim olur, dili çok etkileyici.",kitap_oneri,okum liste ekleyebilecek kitap önerir mis
Felsefi bir kitap önerir misin?,Kesinlikle! 'Nietzsche Ağladığında' seni baya düşündürebilir.,kitap_oneri,felsef bir kitap önerir mis
Yeni çıkan romanlardan tavsiye eder misin?,Evet! 'Gece Yarısı Kütüphanesi' hem yeni hem de çok sürükleyici.,kitap_oneri,yen çıkan roman tavsi eder mis
Duygusal bir kitap okumak istiyorum.,"'Gözyaşı Gecesi' tam da aradığın şey olabilir, çok duygulandırıyor.",kitap_oneri,duygusal bir kitap okumak istiyor
Aksiyon dolu bir roman önerebilir misin?,Aksiyon arıyorsan 'Kod Adı: 93' seni içine çeker.,kitap_oneri,aksiyon dol bir roman önerebilir mis
Kısa ama etkileyici bir kitap var mı?,"'Hayvan Çiftliği' hem kısa hem de çarpıcı, kesin oku derim.",kitap_oneri,kıs etkileyiç bir kitap var
Tarihi olayları anlatan bir kitap önerir misin?,Elbette! 'Sefiller' hem edebi hem tarihi yönüyle çok güçlü.,kitap_oneri,tarih olay anla bir kitap önerir mis
Motivasyon veren bir kitap arıyorum.,"'İçindeki Devi Uyandır' seni gaza getirebilir, denemeye değer!",kitap_oneri,motivasyon veren bir kitap arıyor
Psikolojik bir roman istiyorum.,"'Sessiz Hasta' seni ters köşeye yatırır, psikolojik olarak çok etkileyici.",kitap_oneri,psikolojik bir roman istiyor
Zihinsel gelişim için kitap önerin var mı?,'Atomik Alışkanlıklar' alışkanlıklarını kökten değiştirebilir.,kitap_oneri,zihinsel geliş kitap öner var
Gerçek bir hayat hikayesi okumak istiyorum.,'12 Yıllık Esaret' çok sarsıcı ama bir o kadar da etkileyici.,kitap_oneri,gerçek bir hayat hikaye okumak istiyor
Hikaye kitabı önerir misin?,'Kırmızı Pazartesi' kısa ama etkisi büyük bir hikaye.,kitap_oneri,hikaye kitap önerir mis
Ağlatan bir kitap istiyorum.,'Uçurtma Avcısı' ile duygusal bir yolculuğa çıkabilirsin.,kitap_oneri,ağla bir kitap istiyor
İlham veren kitaplardan biri?,'Azim' seni motive eder ve harekete geçirir.,kitap_oneri,i̇lham veren kitap
Yabancı klasiklerden önerir misin?,'Suç ve Ceza' derinliğiyle seni içine çeker.,kitap_oneri,yabanç klasik önerir mis
Kolay okunan bir roman arıyorum.,'Simyacı' sade dili ve derin mesajıyla çok ideal.,kitap_oneri,kolay okunan bir roman arıyor
Bir otobiyografi önerebilir misin?,'Steve Jobs'un hayatı' ilham almak için birebir.,kitap_oneri,bir otobiyografi önerebilir mis
Bir aşk romanı arıyorum.,'Aşk' Elif Şafak’tan müthiş bir anlatı sunuyor.,kitap_oneri,bir aşk roman arıyor
Eğlenceli bir kitap önerir misin?,'Otostopçunun Galaksi Rehberi' seni güldürürken düşündürüyor.,kitap_oneri,eğlence bir kitap önerir mis
Edebî yönü güçlü bir kitap tavsiyesi?,'Tutunamayanlar' biraz zorlayabilir ama çok derin bir eser.,kitap_oneri,edebî yön güçl bir kitap tavsiye
Bilim kurgu türünde önerin var mı?,'Dune' bilim kurgu sevenler için efsane bir seri.,kitap_oneri,bil kurg tür öner var
Polisiye roman istiyorum.,'Şifre' seni sonuna kadar merakta bırakır.,kitap_oneri,polisi roman istiyor
Dünya klasikleri arasında önerin?,'Anna Karenina' güçlü karakterler ve dramatik anlatımıyla dikkat çeker.,kitap_oneri,dünya klasik ara öner
Distopya türünde bir kitap önerir misin?,'1984' seni totaliter dünyalar hakkında düşündürür.,kitap_oneri,distopya tür bir kitap önerir mis
Klasik Türk edebiyatından bir öneri?,'Saatleri Ayarlama Enstitüsü' kült bir eserdir.,kitap_oneri,klasik türk edebiyat bir öner
Yolculuk temalı bir kitap?,'Yolda' Jack Kerouac’tan harika bir yolculuk hikayesi.,kitap_oneri,yolculuk tema bir kitap
İçsel keşif hakkında kitap?,'Siddhartha' ruhsal yolculuk üzerine harika bir roman.,kitap_oneri,i̇çsel keşif hakk kitap
Hayvan temalı bir kitap?,'Martı' bireysellik üzerine ilham verici bir hikaye.,kitap_oneri,hayvan tema bir kitap
Kadın haklarıyla ilgili bir kitap?,"'Kadınlar, Rüyalar, Ejderhalar' güçlü kadın hikayeleri içeriyor.",kitap_oneri,kat hak ilgi bir kitap
Korku türünde bir kitap önerir misin?,'O' Stephen King’in unutulmaz korku romanı.,kitap_oneri,kork tür bir kitap önerir mis
Farklı kültürleri tanımak için bir kitap?,'Bin Muhteşem Güneş' Afganistan'ı anlatan güçlü bir hikaye.,kitap_oneri,fark kültür tanımak bir kitap
Mitolojiyle ilgili kitap?,'İlyada ve Odysseia' antik mitleri tanımak için birebir.,kitap_oneri,mitoloji ilgi kitap
Gençlik romanı önerin var mı?,'Senden Önce Ben' duygusal ve sürükleyici.,kitap_oneri,gençlik roman öner var
Teknoloji temalı bir kitap?,'Makineleşen İnsan' geleceği sorgulamanı sağlar.,kitap_oneri,teknoloji tema bir kitap
Sürükleyici bir polisiye?,'Ejderha Dövmeli Kız' elinden bırakamayacağın bir kitap.,kitap_oneri,sürükleyiç bir polisi
Aile ilişkileri üzerine bir roman?,'Annemin Öğretmediği Şarkılar' çok dokunaklı.,kitap_oneri,ail ilişki üzer bir roman
Toplumsal eleştiri içeren bir kitap?,'Fareler ve İnsanlar' toplumsal yapı üzerine çarpıcı bir roman.,kitap_oneri,toplumsal eleştir içeren bir kitap
Kendi alanında çığır açmış bir yazarın eseri?,'Körlük' José Saramago’dan etkileyici bir anlatı.,kitap_oneri,kent alan çığır aç bir yazar eser
Ekonomi hakkında genel bir kitap önerir misin?,'Freakonomics' farklı bakış açıları sunuyor.,kitap_oneri,ekonomi hakk genel bir kitap önerir mis
Sanatla ilgili bir kitap arıyorum.,'Sanatın Öyküsü' sanat tarihine harika bir giriş.,kitap_oneri,sanat ilgi bir kitap arıyor
Feminist bir bakış açısı içeren kitap?,'Kadın Olmanın Dayanılmaz Hafifliği' seni derinden etkileyebilir.,kitap_oneri,feminist bir bakış açıs içeren kitap
Kıyamet sonrası temalı kitap?,'Metro 2033' distopik dünyasıyla büyülüyor.,kitap_oneri,kıyamet sonra tema kitap
Tarihsel kurgu önerir misin?,'Kraliçenin Soytarısı' tarih ve kurgu muhteşem birleşmiş.,kitap_oneri,tarihsel kurg önerir mis
Baba-kız ilişkisi anlatan bir roman?,'Kayıp Gül' duygusal ve derin.,kitap_oneri,bap kız ilişki anla bir roman
En çok satanlardan bir öneri?,'Kızıl Kraliçe' son zamanlarda çok ilgi görüyor.,kitap_oneri,satan bir öner
Klasik aşk romanı önerisi?,'Jane Eyre' romantizmi ve bağımsızlığı harika anlatıyor.,kitap_oneri,klasik aşk roman öneri
Kısa öykülerden oluşan bir kitap?,'Sait Faik Hikâyeleri' edebiyat severlerin gözdesi.,kitap_oneri,kıs öykü oluşan bir kitap
Yavaş akan ama derin kitap?,'Bozkırkurdu' Hermann Hesse’den varoluşsal bir roman.,kitap_oneri,yavaş akan der kitap
Politik içerikli roman?,'Hayvan Çiftliği' dolaylı ama güçlü bir eleştiri.,kitap_oneri,poli içerik roman
Tarihî biyografi önerir misin?,'Napolyon'un Hayatı' çok detaylı ve akıcı.,kitap_oneri,tarihî biyografi önerir mis
Kadın yazarların öne çıktığı kitaplardan biri?,'Virginia Woolf – Kendine Ait Bir Oda' çok önemli bir metin.,kitap_oneri,kat yazar ön çıktık kitap
Bir köy hikayesi okumak istiyorum.,'Kuyucaklı Yusuf' köy ve birey çatışmasını güzel yansıtır.,kitap_oneri,bir köy hikaye okumak istiyor
Bir çocuğun gözünden yazılmış kitap?,'Şeker Portakalı' seni hem güldürür hem ağlatır.,kitap_oneri,bir çocuk göz yazıl kitap
Bir bilim insanının hayatını anlatan kitap?,'Einstein – Hayatı ve Evreni' çok doyurucu.,kitap_oneri,bir bil insan hayat anla kitap
Kült olmuş romanlardan biri?,'Bülbülü Öldürmek' toplumsal adalet üzerine unutulmaz.,kitap_oneri,kült ol roman
Psikanaliz içerikli bir kitap?,'Freud – Giriş Dersleri' konuyu derinlemesine anlatıyor.,kitap_oneri,psikanaliz içerik bir kitap
